2000000,2.026879
4000000,2.723579
6000000,3.091457
8000000,3.340498
10000000,3.464658
12000000,3.509712
14000000,3.679368
16000000,3.694450
18000000,3.699459
20000000,3.582374
22000000,3.708319
24000000,3.805106
26000000,3.755899
28000000,3.900422
30000000,3.883648
32000000,3.727330
34000000,3.890472
36000000,3.797669
38000000,3.789650
40000000,3.994729
42000000,3.890154
44000000,3.944875
46000000,3.916557
48000000,3.903744
50000000,3.930421
52000000,3.911523
54000000,3.979023
56000000,3.812029
58000000,4.005557
60000000,4.012568
62000000,4.034484
64000000,4.048611
66000000,4.071202
68000000,4.116070
70000000,4.023210
72000000,4.082596
74000000,4.096893
76000000,4.077748
78000000,4.116607
80000000,4.101859
82000000,4.177739
84000000,4.044901
86000000,3.854501
88000000,3.849340
90000000,3.880081
92000000,3.942689
94000000,3.940461
96000000,4.031645
