0,0.000002,0.000002
1000000,0.140025,0.095378
2000000,0.278432,0.190042
3000000,0.409617,0.276526
4000000,0.546187,0.390491
5000000,0.667028,0.475674
6000000,0.846762,0.576431
7000000,0.941007,0.693507
8000000,1.091243,0.751369
9000000,1.208931,0.85926
10000000,1.364825,0.936746
11000000,1.517626,1.055147
12000000,1.645027,1.153057
13000000,1.812787,1.221178
14000000,1.89713,1.310804
15000000,2.070783,1.421187
16000000,2.286422,1.531791
17000000,2.393955,1.647315
18000000,2.482912,1.708671
19000000,2.644425,1.759503
20000000,2.799954,1.860718
21000000,2.884994,2.026719
22000000,2.983043,2.156629
23000000,3.115404,2.179002
24000000,3.260739,2.375291
25000000,3.668704,2.423112
26000000,3.583099,2.511796
27000000,3.720334,2.606803
28000000,3.96134,2.765642
29000000,3.918052,3.174547
30000000,4.010217,3.122888
31000000,4.198819,3.20898
32000000,4.403929,3.25378
33000000,4.553883,3.334917
34000000,4.626639,3.369317
35000000,4.809323,3.35515
36000000,4.992037,3.709086
37000000,5.08942,3.6004
38000000,5.368593,3.753952
39000000,5.625667,3.787232
40000000,5.582403,3.975507
41000000,5.625871,4.113925
42000000,5.922072,4.32008
43000000,5.982995,4.342031
44000000,6.048896,4.401664
45000000,6.322237,4.388762
46000000,6.266411,4.764189
47000000,6.32284,4.624793
48000000,6.685306,5.197934
49000000,6.825843,4.948909
50000000,6.78288,4.899319
51000000,6.856616,4.969611
52000000,7.021176,5.021923
53000000,7.473643,5.31066
54000000,7.561551,5.606153
55000000,7.550652,5.551278
56000000,7.864112,5.623317
57000000,8.735214,5.612668
58000000,8.462014,5.643566
59000000,8.379001,5.65292
60000000,9.041191,5.947598
61000000,9.36865,6.004639
62000000,8.771002,6.32514
63000000,8.872998,6.413022
64000000,9.080105,6.613604
65000000,9.208945,6.358371
66000000,9.151071,6.42329
67000000,9.684096,6.861416
68000000,9.38017,6.84695
69000000,9.539544,7.159823
70000000,10.512204,7.322119
71000000,10.454689,7.278573
72000000,10.30415,7.190961
73000000,10.531701,7.360284
74000000,10.527274,7.200298
75000000,10.875113,7.605794
76000000,10.93252,7.294241
77000000,11.313728,7.652133
78000000,11.15011,7.684747
79000000,11.478143,7.762526
80000000,11.616705,7.627792
81000000,11.385005,7.920355
82000000,11.590056,7.993253
83000000,11.736059,7.94922
84000000,11.947664,7.970993
85000000,11.846993,8.258921
86000000,11.95638,8.353503
87000000,12.428743,8.72029
88000000,12.345312,8.725395
89000000,12.687514,9.10563
90000000,12.624138,8.806973
91000000,13.456669,8.827746
92000000,13.435752,9.011991
93000000,13.6198,9.30533
94000000,13.888308,9.578101
95000000,14.13658,9.888886
96000000,13.965124,9.838358
97000000,15.111059,9.875894
98000000,14.667342,9.796415
99000000,14.69884,9.780802
100000000,14.602805,10.087039
